Node	 Parent	 Time	 SigClade
347	74	5	0
348	168	6	0
349	143	5	0
350	155	5	0
351	173	4	0
352	45	5	0
353	26	6	0
354	207	4	0
355	63	3	0
356	31	6	0
357	240	4	0
358	14	4	0
359	7	2	0
360	208	6	0
361	206	4	0
362	79	6	0
363	152	3	0
364	6	2	0
365	17	3	0
366	207	4	0
367	233	5	0
368	212	5	0
369	49	3	0
370	151	6	0
371	82	3	0
372	87	6	0
373	14	4	0
374	73	7	0
375	23	5	0
376	286	4	0
377	168	6	0
378	61	4	0
379	41	5	0
380	262	6	0
381	127	4	0
382	82	3	0
383	6	3	0
384	222	5	0
385	7	4	0
386	63	2	0
387	124	6	0
388	101	7	0
389	176	6	0
390	42	6	0
391	31	6	0
392	302	7	0
393	200	5	0
394	28	5	0
395	266	7	0
396	5	3	0
397	214	5	0
398	189	6	0
399	149	7	0
400	201	7	0
401	223	5	0
402	138	6	0
403	21	4	0
404	53	5	0
405	3	3	0
406	118	6	0
407	59	7	0
408	258	4	0
409	311	6	0
410	88	4	0
411	298	3	0
412	284	6	0
413	66	6	0
414	238	6	0
415	272	5	0
416	337	3	0
417	18	4	0
418	10	4	0
419	22	3	0
420	355	5	0
421	8	3	0
422	27	3	0
423	205	6	0
424	49	4	0
425	347	6	0
426	47	7	0
427	36	1	0
428	17	3	0
429	7	3	0
430	122	5	0
431	404	7	0
432	72	8	0
433	266	7	0
434	66	6	0
435	108	5	0
436	54	6	0
437	105	8	0
438	169	5	0
439	157	5	0
440	284	5	0
441	6	3	0
442	27	5	0
443	9	5	0
444	34	7	0
445	49	4	0
446	47	7	0
447	59	7	0
448	4	3	0
449	75	6	0
450	15	6	0
451	17	3	0
452	127	4	0
453	326	9	0
454	22	4	0
455	133	4	0
456	0	1	0
457	270	4	0
458	158	6	0
459	40	3	0
460	22	4	0
461	38	4	0
462	176	5	0
463	24	3	0
464	14	4	0
465	64	4	0
466	64	5	0
467	39	3	0
468	73	5	0
469	38	4	0
470	59	6	0
471	116	6	0
472	19	4	0
473	32	4	0
474	127	4	0
475	111	6	0
476	98	5	0
477	19	5	0
478	418	5	0
479	85	3	0
480	31	6	0
481	12	3	0
482	195	6	0
483	17	4	0
484	436	6	0
485	20	4	0
486	122	5	0
487	94	6	0
488	25	4	0
489	66	6	0
490	348	7	0
491	165	5	0
492	377	6	0
493	418	5	0
494	111	5	0
495	363	4	0
496	155	6	0
497	14	5	0
498	57	4	0
499	39	3	0
500	68	6	0
501	370	6	0
502	258	4	0
503	412	7	0
504	20	4	0
505	34	7	0
506	104	5	0
507	124	6	0
508	53	6	0
509	278	7	0
510	294	7	0
511	25	6	0
512	138	7	0
513	6	3	0
514	16	4	0
515	25	6	0
516	274	6	0
517	169	6	0
518	38	4	0
519	97	2	0
520	23	5	0
521	464	5	0
522	47	7	0
523	449	7	0
524	21	5	0
525	3	3	0
526	9	4	0
527	38	4	0
528	20	5	0
529	49	4	0
530	270	4	0
531	228	7	0
532	17	4	0
533	47	7	0
534	19	5	0
535	20	5	0
536	405	5	0
537	321	2	0
538	177	6	0
539	244	6	0
540	68	5	0
541	124	6	0
542	25	6	0
543	49	3	0
544	2	3	0
545	348	7	0
546	336	9	0
547	59	6	0
548	57	5	0
549	31	6	0
550	254	6	0
551	268	6	0
552	32	4	0
553	111	5	0
554	113	4	0
555	79	5	0
556	55	7	0
557	60	4	0
558	348	7	0
559	133	4	0
560	122	5	0
561	48	6	0
562	363	4	0
563	472	5	0
564	205	6	0
565	295	4	0
566	388	8	0
567	258	4	0
568	275	7	0
569	31	6	0
570	224	7	0
571	232	6	0
572	38	5	0
573	21	4	0
574	168	6	0
575	278	6	0
576	1	3	0
577	9	4	0
578	283	7	0
579	311	6	0
580	35	4	0
581	123	3	0
582	206	4	0
583	471	7	0
584	391	6	0
585	23	5	0
586	363	5	0
587	121	5	0
588	26	6	0
589	355	4	0
590	74	6	0
591	13	5	0
592	113	4	0
593	328	6	0
594	260	5	0
595	77	3	0
596	19	6	0
597	45	5	0
598	487	7	0
599	8	3	0
600	339	7	0
601	56	5	0
602	141	7	0
603	101	6	0
604	196	3	0
605	314	5	0
606	98	5	0
607	56	4	0
608	372	7	0
609	79	5	0
610	115	5	0
611	64	4	0
612	9	5	0
613	488	5	0
614	31	6	0
615	104	5	0
616	206	4	0
617	39	2	0
618	0	2	0
619	376	6	0
620	425	6	0
621	19	6	0
622	125	3	0
623	28	5	0
624	436	6	0
625	113	3	0
626	0	2	0
627	299	3	0
628	264	5	0
629	275	6	0
630	55	7	0
631	264	6	0
632	333	6	0
633	15	5	0
634	270	3	0
635	17	4	0
636	395	7	0
637	171	5	0
638	93	3	0
639	27	3	0
640	107	4	0
641	117	6	0
642	8	3	0
643	4	3	0
644	13	4	0
645	458	8	0
646	39	3	0
647	303	5	0
648	5	3	0
649	260	4	0
650	87	4	0
651	162	6	0
652	387	6	0
653	244	6	0
654	98	5	0
655	290	6	0
656	21	5	0
657	57	3	0
658	44	4	0
659	370	7	0
660	15	3	0
661	74	5	0
662	76	3	0
663	30	6	0
664	122	4	0
665	97	3	0
666	270	4	0
667	168	5	0
668	122	4	0
669	152	4	0
670	3	2	0
671	262	5	0
672	138	6	0
673	3	3	0
674	246	6	0
675	108	4	0
676	237	6	0
677	30	5	0
678	149	8	0
679	92	5	0
680	49	3	0
681	102	7	0
682	412	7	0
683	26	6	0
684	59	7	0
685	171	6	0
686	136	6	0
687	355	5	0
688	93	3	0
689	190	5	0
690	376	5	0
691	216	4	0
692	266	6	0
693	189	7	0
694	408	5	0
695	139	6	0
696	2	2	0
697	412	7	0
698	286	3	0
699	68	6	0
700	74	6	0
701	49	4	0
702	370	7	0
703	141	7	0
704	26	6	0
705	70	6	0
706	205	5	0
707	161	3	0
708	257	7	0
709	55	7	0
710	7	2	0
711	116	7	0
712	197	4	0
713	21	5	0
714	155	6	0
715	275	7	0
716	34	7	0
717	55	7	0
718	14	5	0
719	315	4	0
720	372	7	0
721	166	5	0
722	6	3	0
723	354	5	0
724	93	3	0
725	45	5	0
726	298	3	0
727	127	4	0
728	448	4	0
729	8	4	0
730	323	4	0
731	108	5	0
732	262	5	0
733	5	4	0
734	59	6	0
735	94	5	0
736	4	3	0
737	499	4	0
738	85	3	0
739	166	6	0
740	228	8	0
741	73	5	0
742	190	4	0
743	15	5	0
744	21	6	0
745	199	6	0
746	104	4	0
747	216	3	0
748	77	5	0
749	385	6	0
750	491	7	0
751	222	5	0
752	617	4	0
753	5	4	0
754	267	6	0
755	270	4	0
756	257	6	0
757	346	5	0
758	208	5	0
759	395	8	0
760	3	2	0
761	206	5	0
762	405	4	0
763	84	5	0
764	11	3	0
765	23	3	0
766	419	5	0
767	160	6	0
768	275	8	0
769	66	6	0
770	56	4	0
771	28	5	0
772	0	1	0
773	61	4	0
774	297	8	0
775	507	8	0
776	491	6	0
777	59	6	0
778	30	5	0
779	376	5	0
780	15	5	0
781	182	4	0
782	323	5	0
783	72	7	0
784	239	7	0
785	140	3	0
786	313	6	0
787	66	6	0
788	66	6	0
789	24	4	0
790	32	5	0
791	264	5	0
792	20	4	0
793	164	5	0
794	223	3	0
795	149	7	0
796	404	4	0
797	192	7	0
798	470	6	0
799	122	5	0
800	478	5	0
801	315	4	0
802	64	5	0
803	212	6	0
804	31	5	0
805	136	6	0
806	15	5	0
807	11	3	0
808	550	7	0
809	131	5	0
810	88	4	0
811	243	5	0
812	9	2	0
813	140	4	0
814	39	3	0
815	22	4	0
816	155	6	0
817	193	7	0
818	42	6	0
819	86	6	0
820	9	5	0
821	44	6	0
822	144	4	0
823	226	6	0
824	287	5	0
825	211	6	0
826	45	6	0
827	12	5	0
828	144	2	0
829	97	3	0
830	305	4	0
831	3	3	0
832	388	7	0
833	188	6	0
834	359	4	0
835	157	4	0
836	533	8	0
837	38	4	0
838	68	6	0
839	396	4	0
840	621	7	0
841	563	5	0
842	244	6	0
843	79	6	0
844	54	5	0
845	198	4	0
846	610	6	0
847	640	4	0
848	419	4	0
849	244	6	0
850	26	4	0
851	238	5	0
852	743	5	0
853	82	3	0
854	93	4	0
855	122	5	0
856	699	5	0
857	193	7	0
858	240	4	0
859	677	6	0
860	184	4	0
861	577	5	0
862	158	6	0
863	57	3	0
864	328	4	0
865	124	6	0
866	19	5	0
867	169	6	0
868	7	3	0
869	302	6	0
870	29	7	0
871	103	4	0
872	30	5	0
873	201	7	0
874	51	4	0
875	28	5	0
876	59	6	0
877	84	5	0
878	102	7	0
879	160	5	0
880	10	5	0
881	44	6	0
882	144	2	0
883	68	6	0
884	436	6	0
885	139	7	0
886	460	6	0
887	275	7	0
888	211	6	0
889	36	3	0
890	376	4	0
891	2	2	0
892	140	5	0
893	726	4	0
894	17	4	0
895	556	8	0
896	239	5	0
897	111	4	0
898	481	5	0
899	191	6	0
900	271	6	0
901	164	5	0
902	272	5	0
903	202	6	0
904	48	5	0
905	349	6	0
906	254	5	0
907	104	5	0
908	73	7	0
909	267	6	0
910	29	7	0
911	160	6	0
912	367	6	0
913	164	6	0
914	353	7	0
915	61	4	0
916	7	4	0
917	260	4	0
918	300	7	0
919	460	5	0
920	169	5	0
921	426	7	0
922	467	5	0
923	28	5	0
924	161	5	0
925	140	4	0
926	377	6	0
927	84	6	0
928	313	7	0
929	367	5	0
930	15	5	0
931	557	5	0
932	68	6	0
933	339	7	0
934	420	5	0
935	254	4	0
936	35	6	0
937	471	7	0
938	544	4	0
939	118	5	0
940	176	5	0
941	742	6	0
942	9	4	0
943	125	2	0
944	21	6	0
945	364	3	0
946	20	5	0
947	28	5	0
948	189	6	0
949	624	6	0
950	200	5	0
951	494	6	0
952	1	3	0
953	59	6	0
954	24	4	0
955	436	7	0
956	393	6	0
957	294	6	0
958	298	3	0
959	395	7	0
960	384	7	0
961	93	4	0
962	68	7	0
963	290	7	0
964	45	5	0
965	104	5	0
966	201	7	0
967	40	3	0
968	144	2	0
969	40	3	0
970	673	4	0
971	173	4	0
972	182	4	0
973	20	4	0
974	20	4	0
975	227	7	0
976	3	2	0
977	134	7	0
978	147	5	0
979	71	5	0
980	17	4	0
981	125	4	0
982	25	6	0
983	18	4	0
984	169	6	0
985	647	6	0
986	118	6	0
987	523	7	0
988	408	6	0
989	98	4	0
990	10	4	0
991	409	7	0
992	750	7	0
993	240	4	0
994	523	8	0
995	228	8	0
996	18	4	0
997	19	4	0
998	296	6	0
999	621	6	0
1000	412	8	0
1001	342	6	0
1002	312	5	0
1003	428	4	0
1004	9	3	0
1005	333	6	0
1006	585	7	0
1007	585	6	0
1008	73	6	0
1009	94	6	0
1010	161	5	0
1011	195	6	0
1012	158	6	0
1013	738	5	0
1014	17	4	0
1015	514	5	0
1016	477	6	0
1017	521	6	0
1018	372	7	0
1019	156	5	0
1020	478	6	0
1021	290	6	0
1022	419	5	0
1023	418	4	0
1024	177	6	0
1025	21	6	0
1026	113	4	0
1027	98	5	0
1028	539	7	0
1029	4	2	0
1030	380	6	0
1031	1	3	0
1032	523	8	0
1033	61	4	0
1034	197	4	0
1035	127	4	0
1036	11	3	0
1037	152	3	0
1038	8	2	0
1039	166	5	0
1040	507	8	0
1041	15	5	0
1042	53	5	0
1043	472	5	0
1044	101	7	0
1045	254	6	0
1046	470	6	0
1047	806	6	0
1048	371	5	0
1049	326	8	0
1050	647	6	0
1051	345	4	0
1052	249	5	0
1053	312	6	0
1054	449	6	0
1055	117	5	0
1056	312	5	0
1057	354	6	0
1058	1	2	0
1059	395	8	0
1060	20	4	0
1061	563	6	0
1062	242	6	0
1063	287	5	0
1064	176	6	0
